Name,Experiences,Skills,Educations,Disqualified,Total_Experience_Years
Candidate 61,Quality Assurance Analyst at  (Nov 2023 to N/A)  | Quality Assurance Automation Engineer at Acrelec (May 2022 to Oct 2023)  | Quality Assurance Engineer at Avaya (Aug 2021 to Mar 2022)  | Quality Assurance Analyst at Vetta SMS Group (Nov 2020 to Aug 2021)  | Quality Assurance Analyst at TOTVS (Mar 2020 to Nov 2020)  | Test Automation Engineer at Unisys (Apr 2019 to Feb 2020)  | Test Engineer at Ericsson (Jan 2018 to Feb 2019)  | Tester at Appen (Jul 2017 to Jan 2018)  | Tester at Lionbridge (Feb 2015 to Jun 2017)  | Test Analyst at Squadra Tecnologia (Sep 2012 to Jan 2015)  | Test Analyst at IBM (Jan 2008 to Aug 2012)  | Trainee Php Developer at 2XT Tecnologia (May 2007 to Dec 2007),['none'],Software Engineering at University Center of Belo Horizonte (N/A to N/A)  | Master of Business Administration International Business Administration at University Center of Belo Horizonte (N/A to N/A),Yes,16.75
Candidate 62,Luxury Cosmetics Brand at KamaAyurveda (Feb 2021 to Jun 2023),['none'],Bachelor of Science Computer Application at Aligarh Muslim University (N/A to Dec 2013),Yes,2.33
Candidate 63,Marketing Coordinator at Maria Soto Mortgage. Real Estate (Mar 2024 to N/A)  | Marketing Analyst at SEOS Energy. Residential Solar Energy Fintech (Oct 2022 to N/A)  | Sales Representative at Sunrun (Sep 2019 to Jun 2022),"['sales', 'communication', 'customer relationship management (crm)']",Bachelor'S Environmental Sciences at Polytechnic University of Valencia (N/A to Dec 2019)  | Bachelor'S Environmental Engineering at Sergio Arboleda University (N/A to Dec 2022),Yes,5.67
Candidate 64,Operador De Servicio at PEDIDOS YA (May 2024 to Jun 2024)  | Analista Qa at QANOVA (Jul 2022 to Feb 2024)  | Especialista De Productos Ti at FEBRE 2021 BANCO ESTADO (Jan 2020 to N/A)  | Especialista De Productos Ti at BANCO ITAU (Jan 2018 to Dec 2019)  | Venezuela Especialista De Qa at BANCO BANESCO (Jan 2017 to Dec 2018)  | Analista Funcional at UNISEGUROS (Jan 2015 to Jul 2016)  | Venezuela Analista Calidad at VIVIR SEGUROS (Jan 2011 to May 2015)  | Venezuela Consultor at BANCARIBE (Jan 2011 to Sep 2011)  | Venezuela Consultor De Procesos at SEGUROS CONSTITUCION (Jan 2009 to May 2011)  | Venezuela Consultor De Procesos at SEGUROS LA PREVISORA (Jan 2006 to Jun 2009)  | Mensajero Externo at GRUPO ZOOM (Jan 2005 to Dec 2006)  | Venezuela Operador De Call Center at ATENTO (Jan 2005 to Dec 2006),"['quality assurance', 'organization skills']","Licenciado Administración at Experimental Simón Rodríguez ""UNESR (N/A to N/A)",Yes,26.5
Candidate 65,Weelo at BEE AGENCY JSC (Apr 2020 to May 2020)  | Software Engineer at TITLE (N/A to N/A),['none'],None,Yes,0.08
Candidate 66,Senior Software Engineer at Qapitol QA (Mar 2020 to N/A)  | Office Ride at Ford Motor (Mar 2020 to Nov 2020),['none'],Bachelor of Engineering Electronics Engineering at Kalyani Government Engineering College (Mar 2006 to Apr 2010),Yes,5.42
Candidate 67,Senior Consultant at PROTIVITI (Feb 2024 to N/A)  | Test Engineer at PROTIVITI- EMKAN Finance (Sep 2021 to Jan 2022)  | Senior Software Engineer at PANDOCORP - HACH CHEMICALS (Apr 2021 to Aug 2021)  | Senior Software Engineer at PANDOCORP - Pando Application (Aug 2020 to Mar 2021)  | Associate Analyst at WIPRO- Your Benefit Resource (Oct 2018 to Jul 2020),['none'],None,Yes,3.83
Candidate 68,Senior Ux and Ui Designer at Slide UX (Dec 2023 to N/A)  | Senior Ux and Product Designer at Nerdery (Apr 2019 to Nov 2021),['none'],Bachelor of Fine Arts Communication Design at Texas State University (Jun 2010 to Dec 2014),Yes,3.58
Candidate 69,None,['none'],None,Yes,0.0
Candidate 70,Ejecutiva Comercial at Scotiabank Colpatria (Jan 2018 to Dec 2020),"['microsoft excel', 'sales', 'communication', 'customer relationship management (crm)']",None,Yes,2.92
Candidate 71,Vice-Presidente at Fundación F.I.J.A.T.E (Jan 2015 to Dec 2017)  | Partner Development Specialist at ESCALA Saas (N/A to N/A)  | Consejero Vocacional at Pre Univeristario Social UCN (N/A to N/A),"['microsoft excel', 'financial services', 'social media', 'customer relationship management (crm)', 'lead qualification', 'business-to-business (b2b)']",Curso Social at Andrés Bello National University (Jan 2020 to Dec 2022)  | Uvm Growth Specialist at ESCALA Saas (Jan 2015 to Dec 2017)  |  Social at AIEP Modalidad Online (N/A to N/A)  | Diploma Gestión De Talento Humano at Polytechnic University of Catalonia (N/A to Dec 2022),Yes,2.92
Candidate 72,Quality Assurance Analyst at Bank of America (Mar 2023 to Oct 2023)  | Quality Assurance Analyst at SEI Investments (Jun 2021 to Dec 2022)  | Quality Assurance Analyst at Bloomberg (Jan 2006 to Apr 2017)  | Quality Assurance Analyst at SEI Investments (Dec 2004 to Jan 2006)  | Quality Assurance Analyst at GMAC Insurance (Aug 2003 to Nov 2004)  | Quality Assurance Analyst at GTECH (Jan 2003 to Jul 2003)  | Quality Assurance Analyst at Lucent Technologies (Jul 2001 to Dec 2002)  | Financial Reporting Quality Assurance Analyst at  (Feb 2001 to Jun 2001)  | Quality Assurance Analyst at Mergers and Acquisitions (Jan 1999 to Aug 1999)  | Quality Assurance Analyst at Process and Systems Integration (Jul 1998 to Jul 1999)  | Quality Assurance Analyst at The Prudential Life Insurance (Feb 1996 to Jun 1998)  | Field Training Consultant at  (Feb 1995 to Jan 1996)  | Customer Service Manager at Dynepco (Dec 1992 to Jan 1995)  | Technical Sales Representative at Union Carbide (Jan 1990 to Nov 1992)  | Captive Sales Agent at The Metropolitan Life Insurance (Jan 1987 to Dec 1989),['none'],"at University, Morgantown (Jan 1984 to Dec 1985)  | Bachelor of Arts Political Science at Ohio State University (N/A to Dec 1983)  | Certificate Computer Programming at IBM Object Technology University (N/A to Dec 1995)  | Certificate Information Technology, Leadership and Development at The Chubb Institute (N/A to Dec 1997)  | Sap Lucent In at Mercury Interactive - Indus Consulting Group (N/A to Dec 1997)",Yes,30.58
Candidate 73,Ingeniero Qa at EVERTEC (Apr 2023 to N/A)  | Ingeniero Qa at EMPRESAS GASCO (Jul 2021 to Mar 2023)  | Ingeniero Qa at INNOVASOFT (Jun 2019 to Jul 2021),['none'],Ingeniería Informática Y at Tecnológica de Chile INACAP (Jan 2015 to Dec 2018),Yes,5.42
Candidate 74,Ucla- Universidad Centro Occidental at XEPELIN (Jul 2022 to Jun 2024)  | Software Engineer at Equifax by 23People (Oct 2018 to Feb 2019)  | Quality Assurance at ANDAIN (Mar 2018 to Sep 2018)  | Software Engineer at 23People (Jan 2018 to Feb 2022)  | Software Engineer at Arkiteck (Oct 2017 to Feb 2018)  | Analista De Sistemas at Ingeniería en informatica (Jan 2014 to Dec 2016),"['quality assurance', 'microsoft azure']",Istqb Modern Languages at Kanba Systems Desing (N/A to N/A),Yes,10.08
Candidate 75,Sales Manager at Proxy Medical (Oct 2002 to N/A)  | Financial Advisor at Alternativas de Inversión (Mar 2002 to Aug 2002)  | Financial Advisor at American Express Financial Advisors (Aug 2001 to Feb 2002),"['microsoft excel', 'sales', 'english', 'market research', 'sales processes']",High School Business Administration at University of Reading (May 1999 to Aug 1999)  |   at Gimnasio Campestre (N/A to Dec 1992)  |   at University of St. Thomas (Minnesota) (N/A to May 2000)  |  International Studies at University of St. Thomas (Minnesota) (N/A to May 2000)  | Master Business at University of St. Thomas (Minnesota) (N/A to May 2001),Yes,23.08
Candidate 76,None,"['problem solving', 'javascript', 'qa automation', 'react.js']",None,Yes,0.0
Candidate 77,Senior Software Engineer at JPMorgan Chase & Co. (Sep 2023 to N/A)  | Senior Software Engineer at will bank (Jul 2022 to Sep 2023)  | Senior Software Engineer at Zé Delivery (Sep 2021 to Jul 2022)  | Software Engineer at Objective (Oct 2020 to Sep 2021)  | Back End Engineer at Hilab (May 2020 to Oct 2020)  | Back End Engineer at OmniChat (Jun 2019 to May 2020)  | Full Stack Developer at SWA Sistemas (Jun 2018 to Jul 2019)  | Java Software Developer at CNPq (Dec 2016 to Jul 2019)  | Full Stack Developer at Digitaldoc (Sep 2016 to Dec 2017)  | Rails Developer at See Marketing e Design (Sep 2015 to Sep 2016)  | Software Developer at Parque Tecnológico Itaipu - Brasil (Sep 2014 to Sep 2015)  | C# Developer at Parque Tecnológico Itaipu - Brasil (Jan 2013 to Sep 2014),['none'],Bachelor Computer Science at Federal University of Technology – Paraná (Jan 2016 to Jan 2019),Yes,14.08
Candidate 78,Senior Back End Developer at ília (Mar 2024 to N/A)  | Development Lead at Shaw and Partners (Dec 2022 to Feb 2024)  | Developer at Shaw and Partners (Jul 2022 to Feb 2024)  | Developer at One Plus Group / Digital INT / Digital DEV (Feb 2021 to Aug 2022)  | Software Engineer Trainee at One Plus Group / Digital INT / Digital DEV (Sep 2020 to Feb 2021),['none'],Associate'S Degree System Analysis and Development at Pontifical Catholic University of Goiás (Jan 2021 to Dec 2024),Yes,5.42
Candidate 79,Desempleado at Dirplan (Aug 2017 to N/A),"['javascript', 'react.js']",Ingeniería Informática at INACAP (Jan 2017 to Jan 2018)  |  Analista Programador at inacap (Jan 2015 to Jan 2017)  |  Traducción E Interpretación at Temuco Catholic University (Jan 2006 to Jan 2010),Yes,7.33
Candidate 80,Test Specialist at Data Recognition (Apr 2024 to N/A)  | Software Quality Assurance Analyst at SmartLogic (Nov 2023 to Mar 2024)  | Sales Development Representative at Limble CMMS (Sep 2022 to Mar 2023)  | Management at Bozzuto Group / GMH Communities (Oct 2016 to Mar 2019),['none'],"Bachelor of Science Community Health at University of Maryland, College Park (N/A to N/A)",Yes,3.92
Candidate 81,Quality Analyst at THOUGHTWORKS (Jan 2022 to Dec 2023),['none'],Abogado at Diego Portales University (N/A to Dec 2016),Yes,1.92
Candidate 82,Tester at Global Business IT (N/A to N/A),['none'],None,Yes,0.0
Candidate 83,Digital Marketing Leader at Lean Solutions Group (Jan 2022 to Jul 2022),"['english', 'communication']",None,Yes,0.5
Candidate 84,Salesforce Quality Assurance Agile at Latam (Jan 2022 to May 2022)  | Salesforce Quality Assurance Agile - Client at Abbot (Feb 2021 to Apr 2022)  | Salesforce Quality Assurance Agile at BCI Bank (Feb 2021 to Mar 2022)  | Salesforce Quality Assurance Agile at GDM Arg (Jan 2021 to Feb 2022)  | Quality Assurance Analyst at Tata Consultancy Services (Jul 2020 to May 2021)  | Quality Assurance Analyst at Tata Consultancy Services (Jun 2019 to Jun 2020)  | Quality Assurance Analyst at Tata Consultancy Services (Oct 2018 to May 2019)  | Quality Assurance Analyst at Tata Consultancy Services (Feb 2018 to Oct 2018)  | Quality Assurance Analyst at Tata Consultancy Services (Sep 2017 to Jan 2018)  | Quality Assurance Analyst at Tata Consultancy Services (Jun 2016 to Sep 2017)  | Quality Assurance Analyst at Tata Consultancy Services (Feb 2013 to May 2015)  | Quality Assurance Analyst at Bice Bank (Mar 2012 to Nov 2013)  | Quality Assurance Analyst at Tuxpan ENGINEERING (Mar 2011 to Nov 2011)  | Quality Assurance Analyst at Xinergia Laboral (Jan 2011 to Feb 2011)  | Testing Analyst at IT PEOPLE- IBM-Banco BCI (Aug 2010 to Dec 2011)  | Salesforce Quality Assurance Agile at Sancor Salud (N/A to N/A),['none'],Computer Science at Andrés Bello National University (Mar 2007 to Mar 2011),Yes,14.33
Candidate 85,Senior Quality Assurance Engineer at Interactive Brokers (Aug 2016 to Aug 2021),['none'],Master of Business Administration International Business at University of Massachusetts Lowell (N/A to N/A)  | Bachelor Business and Economics at Bangor University (N/A to N/A),Yes,5.0
Candidate 86,Qc Analyst at Moveapps (Aug 2022 to N/A)  | Qc Analyst at Moveapps (UNO AFP-APP) (Aug 2022 to N/A)  | Qc Analyst at GLOBANT (Aug 2021 to Dec 2022)  | Qc Analyst at GLOBANT (Feb 2021 to Aug 2021)  | Tester at UNITY SOLUTIONS (Dec 2019 to Feb 2021)  | Qc Analyst at NULTA (Oct 2017 to Dec 2019),"['javascript', 'microsoft azure']",None,Yes,7.5
Candidate 87,Land Acquisition Manager at Constructora Ayala (Feb 2016 to Sep 2020),['none'],Certificate Management at University of Palermo (Buenos Aires) (N/A to N/A),No,4.58
Candidate 88,None,['none'],None,No,0.0
Candidate 89,Game Developer at Creamos (N/A to N/A)  | Team Lead at Grupo Chance S.A (N/A to N/A)  | Software Developer at Instituto Tecnológico de Enseñanza Superior (N/A to N/A),"['communication', 'c#', 'unity']",Qa Manager at National Technological University (N/A to N/A)  |  Desarrollo De Software at Instituto Tecnológico de Enseñanza Superior (N/A to N/A),Yes,0.0
Candidate 90,Business Development Representative at PALM Era Marketing (Oct 2023 to Jul 2024)  | Business Development Representative at Quadient (Oct 2023 to Jul 2024)  | Business Development Representative at BDR Outbound (Jun 2023 to Oct 2023)  | Sales Development Representative at Comunidad Feliz Servicios de TI (Feb 2020 to Jun 2023)  | Ejecutivo De Negocios at Mercantil Banco Universal (Nov 2018 to Feb 2020)  | Asesor Comercial at Distribuciones 7 Hermanos C.A (Feb 2016 to Nov 2018)  | Analista De Negocios - Analista De Credito at C.A (Feb 2016 to Nov 2018),"['sales', 'customer relationship management (crm)', 'business-to-business (b2b)']",None,Yes,11.92
Candidate 91,Administrative Assistant at Gaspy Home Health Care (Oct 2022 to Oct 2023)  | Business Development Representative at Abroad Solutions (Jun 2022 to Sep 2022)  | Analyst at Pandanus Consulting Group (Nov 2021 to Aug 2022)  | Coach at Sitel (Apr 2021 to Oct 2021)  | Quality Analyst at Sitel (Sep 2020 to Apr 2021),['none'],"Bogotá, D. C  at El Bosque University (Jan 2015 to Dec 2020)  | Bachelor'S  at Colegio Eucarístico Villa Guadalupe (N/A to Dec 2014)  | Bachelor Environmental Management at Polytechnic University of Catalonia (N/A to Dec 2015)  | Certificate Sales at HubSpot Academy (N/A to Oct 2019)",Yes,3.08
Candidate 92,Quality Assurance Analyst at Tata Consultancy Services Canada (Oct 2022 to Apr 2024)  | Test Automation Engineer at Dynaptual Consultancy (Sep 2021 to Oct 2022)  | Quality Assurance Analyst at Basegix Consulting (Jul 2018 to Aug 2020),['none'],Post-Graduation Web Design and Development at Conestoga College (N/A to N/A)  | Bachelor of Engineering Computer Engineering at Gujarat Technological University (N/A to N/A),Yes,4.67
Candidate 93,Test Case Creation at IBM (Jan 2023 to N/A),"['javascript', 'attention to detail', 'organization skills']",High School  at University of Buenos Aires (N/A to Dec 2018),Yes,1.92
Candidate 94,Quality Assurance Tester Analyst at Torei Consulting (Jul 2022 to Mar 2024)  | Qatester Analyst at PCMAIL C.A (Apr 2021 to Mar 2022)  | Industrial Engineer at Yacambú University (Jan 2018 to Dec 2021),['organization skills'],None,Yes,6.5
Candidate 95,Advanced Ai Data Trainer at Invisible Technologies (Sep 2023 to N/A)  | Agile Web Developer Program at  (Jan 2023 to Dec 2023)  | Freelance Quality Assurance Tester at Tester Work (Dec 2021 to Feb 2023)  | Freelance Software Tester at Utest (May 2021 to Aug 2023),['none'],Master of Science Agriculture at Cape Peninsula University of Technology (Jan 2023 to N/A)  | Bachelor Agriculture at University of Venda (Jan 2018 to Jun 2022),Yes,5.58
Candidate 96,Sales Development Specialist at Solvo (Sep 2023 to Apr 2024)  | Agent at Lean Solutions Group (Jul 2022 to Jan 2023)  | Senior Agent at SYKES (Feb 2020 to Jul 2022)  | Co-Owner at GGG&P Special Transport (Jun 2011 to Sep 2019),"['sales', 'english']",Elementary School International Affairs at U.E. Enrique María Dubuc (Jan 2013 to Dec 2015)  |   at Universidad Santa María (Caracas) (Jan 2011 to Dec 2011)  |   at Universidad Santa María (Caracas) (Jan 2009 to Dec 2011)  |   at San Antonio de Los (Jan 2008 to Dec 2008)  |   at San Antonio de Los (Jan 2005 to Dec 2009)  | High School  at U.E. Colegio Valle Alto (Jan 1999 to Dec 2004),Yes,11.75
Candidate 97,Developer at Vortigo (May 2021 to N/A)  | Specialist Apple and Developer at Venture Labs (Aug 2015 to May 2021)  | Developer at Expensemobi (Aug 2014 to Aug 2015)  | Desenvolvedor Full Stack at  (Mar 2010 to Aug 2014),['none'],None,Yes,14.75
Candidate 98,Lead Generation Manager at Pixoft l Kyiv (Nov 2023 to N/A)  | Customer Lead Generation Manager at Ivy Tech l Kharkiv (Jun 2023 to Nov 2023)  | Sales Manager at FH Solutions l Kharkiv (Jan 2022 to Jun 2023)  | Information Technology Sales Assistant at FEVERNOVA MOBILE l Kharkiv (Feb 2019 to Feb 2022)  | Researcher at SLOBODA STUDIO l Kharkiv (Feb 2018 to Nov 2018),"['english', 'lead generation']",Bachelor  at Kharkiv Polytechnic Institute (N/A to Dec 2016),Yes,6.67
Candidate 99,Senior Game Developer at GamesTree (Feb 2024 to N/A)  | Senior Game Developer at Gamivision (Jan 2023 to Jan 2024)  | Senior Unity Developer at NiBG (Apr 2022 to Jan 2023)  | Senior Unity Developer at Wangard International (Oct 2020 to Mar 2022)  | Associate Unity Developer at ai-logica (Sep 2019 to Oct 2020),"['android', 'mobile games', 'c#', 'ios', 'unity']",None,Yes,5.08
Candidate 100,Quality Assurance Automation Engineer at HealthVerity (Jul 2023 to Jul 2024)  | Quality Assurance Automation Engineer at ID.me (Mar 2021 to May 2023)  | Information Technology Operations Specialist at Fusion Connect (Jan 2020 to Dec 2020),['none'],Bachelor of Science Information Technology at George Mason University (N/A to Dec 2020),Yes,4.08
Candidate 101,Senior Software Test Engineer at GraphicWeave / Reldyn Tech Pvt (Mar 2023 to N/A)  | Quality Analyst at Srinagar Technology Consultants (Jan 2020 to Mar 2023),['javascript'],Cs Engineering at University of Kashmir (Mar 2017 to Mar 2021)  | Cs Engineering at University of Kashmir (Apr 2014 to Apr 2017)  | Master Computer Applications at srinagar jammu and kashmir (N/A to N/A),Yes,4.92
Candidate 102,Quality Assurance Specialist at CondoConta Bank (Feb 2020 to Apr 2024)  | Quality Assurance Consultant at Beetools (Dec 2018 to Feb 2023)  | Quality Assurance Consultant at Wellzesta (Jul 2018 to Sep 2021)  | Qa Lead at PSafe Brasil (Jun 2013 to Jun 2018)  | Game Tester at Quepasa (Jan 2012 to Jan 2013),['none'],Bachelor'S Psychology at University of Caxias do Sul (Jan 2018 to Jan 2023)  | Technology Degree Digital Games and Technology at Pontificia University of Paraná (Jan 2012 to Jan 2013),Yes,17.5
Candidate 103,Quality Assurance Engineer at Kreatesell (Mar 2024 to N/A)  | Quality Assurance Engineer at Zealight Innovation Labs (Dec 2022 to Mar 2024)  | Quality Assurance Engineer at SkillUp Africa (Oct 2020 to Dec 2022)  | Frontend Developer at Occupational Safety Consultants (Feb 2020 to Aug 2020),['none'],Bachelor of Science Environmental Biology at Adekunle Ajasin University (N/A to Dec 2018),Yes,4.67
Candidate 104,Software Quality Assurance Engineer at TalentNow (Jul 2023 to Oct 2023)  | Technical Support Agent at NRTC (Jan 2023 to N/A)  | Software Quality Assurance Engineer at Freelance (May 2022 to N/A),['none'],None,Yes,4.75
Candidate 105,Senior Recruiter at SOLVO GLOBAL (Jan 2022 to N/A)  | Sales Representative at CONTACTPOINT 360 (Aug 2021 to Jan 2022)  | Sales Rep at TELEPERFORMANCE - BDR (Aug 2019 to Aug 2021),"['microsoft excel', 'sales', 'market research', 'business-to-business (b2b)']",Civil Engineer at University of Carabobo (Jan 2009 to Dec 2014),Yes,5.33
Candidate 106,Software Quality Assurance Engineer at Mensa tech (Sep 2022 to N/A)  | Senior Sqa at No Borderz Innovation (Jun 2022 to Sep 2022)  | Senior at SQA Narsun Studios (Oct 2021 to Jun 2022)  | Senior at SQA Mindbotixs (Dec 2019 to Nov 2021)  | Quality Assurance Engineer at Highlogix PVT (Dec 2018 to Dec 2019),['none'],Bachelor Software Engineering at COMSATS Institute of Information Technology (N/A to Dec 2018),Yes,6.08
Candidate 107,Qamanager at Esensi Solusi (Mar 2023 to Apr 2024)  | Tester at Evren (Feb 2023 to Aug 2023)  | Qa Lead at Brick (Sep 2022 to Dec 2022)  | Qamanager at Alto Network (Jan 2022 to Sep 2022)  | Quality Assurance Engineer Manager at Alodokter (Oct 2019 to Dec 2021)  | Qa Lead at Alodokter (Dec 2018 to Sep 2019)  | Qa Lead at Gameloft Indonesia (May 2015 to Nov 2018)  | Tester at  (Apr 2012 to Nov 2015),['none'],Science at SMA Negeri 1 Yogyakarta (Jan 2001 to Dec 2004),Yes,12.5
Candidate 108,Business Development Representative at MASTERCRAFT (Apr 2024 to N/A)  | Demand Generation Representative at AMAZON WEB SERVICES (Sep 2022 to Apr 2024)  | Head of Growth at Colombian crypto (Nov 2021 to Jun 2022)  | Digital Content Manager at MÁS ALTO CAPITAL (May 2020 to Nov 2021)  | Indepedent Digital Consultant at MIND MEDIA. CLIENT: DROGUERÍA CRUZ VERDE (Feb 2020 to Jul 2021)  | Marketing and Coordinator at  (Oct 2015 to Feb 2020),"['sales', 'communication', 'social media', 'oral communication']","Marketing, Business and Development at IE Business School (N/A to N/A)  | Master Social Communication and Journalism at Pontifical Bolivarian University (N/A to Dec 2015)",No,10.08
Candidate 109,Senior Unity Developer at Firebyte Games (Apr 2022 to Oct 2023)  | Full Stack Unity Developer at Upwork (Nov 2021 to N/A)  | Full Stack Unity Developer at T Games Software and Informatics (Mar 2020 to Jan 2022)  | Unity Developer at Safrantek (May 2019 to Mar 2020)  | Software Developer at Trinoks (Nov 2017 to May 2019),"['android', 'mobile games', 'c#', 'ios', 'unity']",Computer Programming at Istanbul Aydın University (Jan 2014 to Dec 2017),Yes,8.75
Candidate 110,None,"['microsoft excel', 'english']",None,Yes,0.0
Candidate 111,Quality Assurance Engineer at Wildlife Studios (Sep 2021 to Oct 2022)  | Quality Assurance Specialist Associate at IBM Brazil (Mar 2020 to Dec 2021),"['quality assurance', 'problem solving', 'attention to detail', 'defining requirements']","Design and Games at Danki Code Academy (N/A to N/A)  |  Social Communication, Advertising and Marketing at Federal University of Acre (N/A to N/A)  | Bachelor Game Design at Anhembi Morumbi University (N/A to N/A)",Yes,2.83
Candidate 112,Manual Quality Assurance Analyst at Opensponsorship (May 2022 to Jan 2024)  | Software Quality Assurance Tester at IT Expert Systems (Jan 2021 to Feb 2022)  | Tester at Business Technology Partners (Mar 2016 to Dec 2020)  | Production Support Analyst at Bunzl Headquarters (Jun 2015 to Feb 2016),['none'],Administration at Oakton Community College (N/A to N/A)  | Csm Certified Scrum Master at ScrumAlliance.org (N/A to N/A)  | Associate of Applied Science Computer Network and Systems at ITT Technical Institute (N/A to N/A)  | Certificate Sql Oracle Database Administrator at Oakton Community College (N/A to N/A),Yes,8.17
Candidate 113,Quality Assurance Analyst at  (Apr 2023 to N/A)  | Tester at  (Mar 2019 to Apr 2023)  | Executive Office Case Specialist at Wells Fargo (Aug 2016 to Jan 2019),['none'],None,Yes,8.17
Candidate 114,Senior Quality Control at  (Nov 2018 to N/A)  | Quality Assurance Engineer at Mapcity (Jun 2018 to Nov 2018)  | Software Quality Analyst at Groupon Latam (Jul 2017 to May 2018)  | Quality Assurance Engineer at Nubox (Jun 2015 to Jul 2017)  | Quality Assurance Analyst at Consorcio Bank (Nov 2014 to Jun 2015)  | Quality Assurance Analyst at Consorcio Bank (Jul 2014 to Oct 2014)  | Quality Assurance Analyst at Aligare (Jun 2012 to Jun 2014)  | Quality Assurance Analyst at Testgroup (Jul 2011 to Jun 2012)  | End to End Testing at  (Oct 2008 to Jun 2011)  | Quality Assurance Consultant at Testgroup (Feb 2007 to Jul 2021)  | Quality Assurance Engineer at Universidad de Chile (N/A to N/A),"['quality assurance', 'javascript']",at Metropolitan University of Technology (Mar 2011 to Dec 2011)  |   at INACAP (Mar 2000 to Dec 2006),Yes,30.25
Candidate 115,Test Analyst at IBM (Nov 2021 to N/A),['none'],None,Yes,3.08
Candidate 116,Programmer at Zitro (Jan 2024 to N/A)  | Developer at Gaea Global Technology (Jun 2023 to N/A)  | Scientist at Master's Program (Nov 2022 to N/A)  | Unity Developer at VGMinds Tech Studios (May 2022 to N/A)  | Game Developer at Nukebox Studios (Aug 2017 to N/A),"['c#', 'ios', 'programming', 'unity']",at 2016Computer Science (N/A to Jul 2012),Yes,14.42
Candidate 117,Quality Analyst at OneAmerica Financial (Sep 2022 to N/A)  | Quality Assurance Analyst at HSBC Bank (Mar 2021 to Sep 2022)  | Test Analyst at HCA Healthcare (Jan 2019 to Feb 2021),['microsoft azure'],None,Yes,5.83
Candidate 118,Ios Tech Lead at Banco Modal (Oct 2019 to Dec 2022)  | Lead Mobile Developer at Maya (May 2013 to Sep 2013)  | Flash Developer and Developer at AgenciaClick Isobar (Dec 2010 to Oct 2011)  | Flash Developer at Sampa.ad (Apr 2010 to Dec 2010)  | Flash Developer at BG interativa (Mar 2010 to Apr 2010)  | Flash Developer at fri.to (Aug 2009 to Feb 2010)  | Flash Developer at Elleven Criatividade (Sep 2008 to Aug 2009),['none'],"Ios Developer, Objective C at iai? - Instituto de Artes Interativas (Jan 2011 to Jan 2011)  |  Web Designer, High School/Secondary Diplomas and Certificates at SENAC (Jan 2008 to Jan 2008)  |  Actionscript 3 Basic, High School/Secondary Diplomas and Certificates at Faculdade de Informática e Administração Paulista (Jan 2008 to Jan 2008)  |  Actionscript 3 Advanced, High School/Secondary Diplomas and Certificates at Faculdade de Informática e Administração Paulista (Jan 2008 to Jan 2009)  | Bachelor'S Portuguese, English Language and Literature at São Paulo State University (Jan 2005 to Jan 2006)",Yes,6.5
Candidate 119,Engineer at ParallelStaff (Dec 2023 to N/A)  | Engineer at Able (Jan 2022 to Dec 2023)  | Senior Software Engineer and Engineer at BairesDev (Jan 2021 to Dec 2021)  | Senior Software Engineer and Engineer at Lojas Renner S.A. (Sep 2020 to Jan 2021)  | Senior Software Engineer and Engineer at Shell (Nov 2019 to Sep 2020)  | Lead Mobile Engineer at Ponderatti Tecnologia (Aug 2015 to Nov 2019)  | System Analyst at BRASILIENSE CARGO (Sep 2013 to Dec 2014)  | Junior Software Engineer at Ci&T (May 2011 to Sep 2013)  | Junior Software Engineer at Intercamp Sistemas (Aug 2008 to May 2011),['none'],Bachelor Computer Science at Centro Universitário de Brasília (Jan 2007 to Jan 2011),Yes,15.58
Candidate 120,Senior Software Engineer at Embrace (Mar 2022 to N/A)  | Senior Software Engineer at Ring (Oct 2020 to Feb 2022)  | Senior Software Engineer at Medallia (Dec 2019 to Sep 2020)  | Software Engineer Ii at Medallia (May 2017 to Nov 2019)  | Semi Senior Software Developer at Despegar.com (Oct 2015 to Apr 2017)  | Junior Software Developer at Despegar.com (Apr 2014 to Sep 2015)  | Trainee Software Developer at Despegar.com (Jul 2013 to Mar 2014)  | Freelance Software Developer at BA Minds (Mar 2012 to Oct 2015)  | Web Developer at Gobierno de la Ciudad de Buenos Aires (Aug 2011 to Nov 2012),['none'],Information Systems Engineering at National Technological University (Jan 2013 to Dec 2021)  |  Computer Programming at Escuela Técnica Nº 35 - Ing. Eduardo Latzina (Jan 2007 to Jan 2012),Yes,15.75
